epoch,loss,val_loss
313,25217.478515625,29856.318359375
314,25166.4296875,29725.740234375
315,25065.77734375,29717.78515625
316,25434.87109375,30666.640625
317,25167.427734375,29584.2421875
318,24884.666015625,31072.541015625
319,25605.263671875,30403.5
320,25901.576171875,29746.66015625
321,25110.19921875,29478.603515625
322,24947.591796875,29645.076171875
323,25244.607421875,30506.396484375
324,24931.34765625,30144.986328125
325,24950.23828125,29581.140625
326,25046.947265625,29108.794921875
327,25360.326171875,29607.677734375
328,24897.8359375,29291.9375
329,24871.216796875,29131.451171875
330,24796.0703125,29117.478515625
331,25026.435546875,29126.232421875
332,24471.23046875,29929.91015625
333,24513.27734375,29484.841796875
334,24802.310546875,29294.619140625
335,24667.51953125,29633.0859375
336,25163.228515625,29058.88671875
337,24880.904296875,31240.962890625
338,24545.791015625,29340.201171875
339,24344.625,28929.259765625
340,24626.8359375,29652.9140625
341,24925.25390625,28909.517578125
342,24139.884765625,30367.640625
343,24445.4921875,29012.177734375
344,24585.01171875,29054.458984375
345,24031.48046875,28906.451171875
346,24246.03515625,28926.759765625
347,24293.44921875,28716.78515625
348,24292.076171875,28911.595703125
349,24390.771484375,29322.2265625
350,24200.505859375,28705.701171875
351,24068.650390625,29110.541015625
352,23886.978515625,30367.521484375
353,24424.9921875,29849.990234375
354,24606.048828125,28649.900390625
355,24451.888671875,28809.75390625
356,24191.3046875,28504.453125
357,24038.734375,30273.927734375
358,23755.05078125,29400.4375
359,23826.416015625,28989.986328125
360,23825.2734375,28278.44140625
361,23896.263671875,28702.75
362,23572.796875,28642.970703125
363,23728.1640625,28277.201171875
364,23992.111328125,29035.814453125
365,23774.755859375,28408.20703125
366,23984.109375,28188.365234375
367,24045.6875,28057.662109375
368,23720.87890625,28174.71875
369,23974.5078125,29324.619140625
370,23611.392578125,28233.59375
371,23611.783203125,28776.794921875
372,23858.73828125,28055.298828125
373,23407.54296875,28136.4921875
374,23600.716796875,28189.154296875
375,23922.189453125,28155.599609375
376,23984.6015625,28295.326171875
377,23457.8046875,29827.259765625
378,23328.064453125,27925.458984375
379,23539.123046875,27914.333984375
380,23384.5234375,27840.228515625
381,23562.41015625,27969.2421875
382,23251.185546875,28024.603515625
383,23386.748046875,27660.294921875
384,23448.83984375,28290.203125
385,23494.654296875,28053.419921875
386,23040.3359375,27867.841796875
387,23534.12890625,28560.484375
388,23566.650390625,27953.625
389,23530.861328125,27847.3984375
390,22886.96484375,29168.609375
391,23442.521484375,28206.228515625
392,23629.5625,27711.8046875
393,23149.25,27709.4140625
394,22953.216796875,28022.576171875
395,23168.533203125,27761.748046875
396,23519.298828125,27802.955078125
397,23040.47265625,27783.576171875
398,23231.48046875,27636.587890625
399,23486.576171875,28018.333984375
400,23158.75,27624.666015625
401,23246.166015625,28416.29296875
402,23303.427734375,27869.376953125
403,22749.779296875,27669.18359375
404,23036.802734375,28146.783203125
405,22754.2578125,30341.873046875
406,23301.6484375,27434.6328125
407,22716.802734375,27620.119140625
408,23353.419921875,27386.904296875
409,22955.849609375,27827.048828125
410,23105.46484375,27312.185546875
411,22494.91796875,27384.478515625
412,22668.904296875,27763.017578125
413,23016.14453125,27631.359375
414,22942.16796875,28653.80078125
415,22818.220703125,30831.21875
416,22942.99609375,27585.2109375
417,22556.1640625,27278.41796875
418,22990.3828125,27355.61328125
419,22866.87890625,27151.9140625
420,22888.41015625,27189.02734375
421,22837.384765625,27241.546875
422,22891.6796875,27460.138671875
423,22845.177734375,27174.20703125
424,22787.1796875,27087.99609375
425,22444.146484375,27515.498046875
426,22587.779296875,27207.396484375
427,23011.365234375,27508.45703125
428,22646.1953125,26921.3203125
429,22487.150390625,27213.029296875
430,22521.63671875,26905.51171875
431,22563.29296875,27098.24609375
432,22707.923828125,27476.412109375
433,22555.013671875,27050.451171875
434,22685.310546875,28738.94140625
435,22507.990234375,27840.646484375
436,22459.435546875,27672.91015625
437,22449.9296875,27387.3828125
438,22463.765625,26987.220703125
439,23093.333984375,27627.078125
440,22203.38671875,28170.83984375
441,22632.71875,26834.41015625
442,22475.12109375,27539.6953125
443,22378.0390625,26875.31640625
444,22976.318359375,27281.703125
445,22668.71875,27194.064453125
446,22106.85546875,27022.5
447,22140.7578125,27183.701171875
448,22684.400390625,26862.58984375
449,22586.123046875,27403.625
450,22534.181640625,26767.353515625
451,22116.70703125,26654.53515625
452,22272.806640625,27424.677734375
453,22176.705078125,27883.03125
454,22373.7734375,27127.490234375
455,22261.94921875,26654.81640625
456,22238.05859375,28666.0234375
457,22380.798828125,27150.91796875
458,22226.05078125,26986.0703125
459,22096.994140625,26609.59765625
460,22209.712890625,27477.076171875
461,22238.94921875,28443.0078125
462,22034.90625,27430.4375
463,22029.232421875,26978.802734375
464,22166.927734375,27110.24609375
465,22465.03515625,26746.076171875
466,22107.779296875,26804.494140625
467,21968.4921875,26686.7578125
468,22329.365234375,28639.345703125
469,22406.693359375,26705.185546875
470,21991.900390625,26653.654296875
471,22158.7890625,27300.078125
472,21950.29296875,26755.71484375
473,22463.66015625,26959.41796875
474,22114.46875,26705.416015625
475,22309.10546875,28271.27734375
476,21913.607421875,26887.572265625
477,22469.802734375,26447.5390625
478,22114.07421875,28656.03125
479,22350.572265625,27203.58203125
480,21965.642578125,30402.0
481,22485.5078125,27787.02734375
482,22364.0078125,27013.423828125
483,22254.404296875,26380.431640625
484,22050.4140625,26509.76171875
485,22238.970703125,26322.859375
486,21805.68359375,26380.373046875
487,22154.8515625,26569.203125
488,21602.642578125,26373.6640625
489,21651.6484375,27101.55859375
490,22259.03515625,27683.572265625
491,21932.32421875,26713.517578125
492,22239.591796875,26275.212890625
493,21851.681640625,26222.482421875
494,22012.7421875,26188.265625
495,21843.513671875,26376.400390625
496,21852.517578125,27296.8828125
497,21693.236328125,26331.904296875
498,21960.578125,26285.111328125
499,22106.02734375,26216.65234375
500,21894.66796875,26682.83984375
501,21685.1875,27138.380859375
502,21789.578125,26557.41796875
503,21650.767578125,26438.390625
504,21792.486328125,26202.09375
505,22042.755859375,26209.880859375
506,21519.220703125,26130.14453125
507,21584.03515625,26133.453125
508,21718.060546875,27562.369140625
509,21887.677734375,26274.654296875
510,21895.86328125,26153.267578125
511,21991.73828125,26599.53515625
512,21542.3046875,25947.869140625
513,21614.8828125,25963.9296875
514,21370.12109375,27246.55078125
515,21659.9453125,26970.396484375
516,21699.513671875,28032.517578125
517,21627.75,26740.9921875
518,22322.44921875,25963.93359375
519,22385.173828125,26009.15625
520,21513.607421875,26051.712890625
521,21592.48046875,26711.91796875
522,21739.8671875,27537.474609375
523,22167.943359375,26236.26171875
524,21772.130859375,26579.51171875
525,21539.51171875,25960.7421875
526,21465.35546875,26490.8671875
527,21935.337890625,25955.478515625
528,21562.822265625,25821.849609375
529,21498.943359375,25901.099609375
530,21602.62109375,25925.248046875
531,21482.951171875,25916.4609375
532,21217.365234375,25781.7578125
533,21769.92578125,28714.525390625
534,21441.533203125,25686.216796875
535,20926.9453125,27845.42578125
536,21716.154296875,26360.193359375
537,21349.841796875,25718.697265625
538,21425.6796875,25772.53515625
539,21532.583984375,25720.302734375
540,21109.71875,26364.54296875
541,21491.341796875,26660.130859375
542,21604.96875,25838.236328125
543,21406.740234375,26518.37890625
544,21517.38671875,25951.919921875
545,21571.310546875,25751.3828125
546,21386.263671875,25935.7265625
547,21069.77734375,25925.08984375
548,21045.96875,25889.890625
549,21556.99609375,25521.0625
550,21327.123046875,25724.234375
551,21286.21484375,27659.96484375
552,20973.599609375,26064.1015625
553,21479.6875,25988.16796875
554,22235.29296875,25725.802734375
555,21203.857421875,25730.451171875
556,21279.896484375,25756.8125
557,21084.861328125,25559.083984375
558,20902.62109375,25679.41015625
559,20838.279296875,25795.5078125
560,21719.9296875,25485.8828125
561,20983.9765625,26723.759765625
562,21685.787109375,26033.28515625
563,21344.779296875,25786.60546875
564,21181.2265625,25992.353515625
565,21107.134765625,26660.33203125
566,21308.912109375,26008.390625
567,20833.359375,25290.345703125
568,20849.32421875,25609.77734375
569,21009.349609375,26439.75390625
570,21424.267578125,25269.3125
571,20954.556640625,25705.376953125
572,20836.154296875,25538.439453125
573,20833.072265625,25291.78515625
574,20937.37109375,26210.21484375
575,20899.955078125,25320.771484375
576,20625.48046875,25317.66015625
577,20534.19140625,25418.8125
578,20903.478515625,25369.876953125
579,21118.25,26456.564453125
580,21213.34765625,25396.125
581,20854.87890625,25559.80859375
582,20958.349609375,25220.41015625
583,21325.3046875,27167.052734375
584,21142.55078125,25878.30859375
585,20811.220703125,25558.70703125
586,20949.17578125,26491.826171875
587,21244.353515625,25672.931640625
588,21439.970703125,25639.603515625
589,21122.23828125,25270.3125
590,20784.955078125,25420.193359375
591,20676.078125,25562.375
592,20542.53515625,25313.7578125
593,20790.626953125,25113.361328125
594,21128.921875,25036.34375
595,20845.146484375,25089.83984375
596,20803.724609375,28689.267578125
597,20864.740234375,25668.154296875
598,20661.033203125,25095.310546875
599,20999.884765625,25193.2890625
600,20910.4296875,25281.841796875
601,21046.435546875,25116.224609375
602,20599.228515625,25214.056640625
603,20566.29296875,25303.3828125
604,20603.181640625,25101.86328125
605,20454.44140625,25161.697265625
606,20601.41015625,25104.439453125
607,20424.55078125,27158.94921875
608,20755.232421875,25240.009765625
609,20898.2265625,25458.1640625
610,20877.5234375,25159.875
611,20610.111328125,24944.03515625
612,20478.236328125,25484.234375
613,20484.533203125,25528.595703125
614,20582.5390625,24904.873046875
615,20525.177734375,25954.728515625
616,20638.4453125,25301.658203125
617,20957.1796875,24718.435546875
618,20956.5234375,24994.298828125
619,20610.0078125,25535.1171875
620,20409.279296875,25673.052734375
621,20343.5078125,25766.83203125
622,20815.5,25231.615234375
623,20157.34375,25905.279296875
624,20616.361328125,24841.94140625
625,21020.78125,24969.9609375
626,20699.580078125,24827.0703125
627,20491.88671875,25223.4921875
628,20339.931640625,25057.013671875
629,20731.548828125,25572.224609375
630,20075.203125,24867.123046875
631,20528.791015625,24790.626953125
632,20667.4375,24856.0703125
633,20558.12890625,24992.65234375
634,20598.357421875,26812.017578125
635,20618.365234375,24695.224609375
636,20218.6171875,24721.60546875
637,20347.099609375,25057.240234375
638,20423.12890625,24723.486328125
639,20400.88671875,24818.302734375
640,20481.703125,25988.21484375
641,20250.984375,25108.63671875
642,20574.27734375,26612.37890625
643,19944.658203125,24610.7265625
644,20277.0625,24562.0546875
645,20110.08203125,24850.208984375
646,20010.21875,26371.279296875
647,20468.66015625,25061.658203125
648,20368.607421875,25897.9296875
649,20517.416015625,28133.478515625
650,20386.904296875,24574.4921875
651,20102.109375,24681.8046875
652,19981.8671875,24751.88671875
653,20317.44921875,24570.826171875
654,20062.748046875,25551.7421875
655,20446.115234375,26252.4296875
656,20231.17578125,25073.638671875
657,20686.060546875,24520.220703125
658,20359.330078125,24343.947265625
659,20233.470703125,24274.453125
660,20185.3984375,24732.91015625
661,19935.47265625,24508.46484375
662,20115.447265625,24371.89453125
663,19931.322265625,24197.60546875
664,20554.97265625,27623.80859375
665,20979.677734375,24349.6484375
666,19907.248046875,24499.01171875
667,20280.642578125,24512.205078125
668,20046.154296875,25241.923828125
669,20224.91015625,25192.8046875
670,20256.830078125,26161.271484375
671,20046.978515625,24503.451171875
672,20331.802734375,24466.138671875
673,20601.08203125,25012.908203125
674,20350.544921875,26577.2265625
675,20175.763671875,24769.744140625
676,20206.876953125,24302.330078125
677,19710.26953125,24396.580078125
678,20065.021484375,24875.744140625
679,19751.71875,25147.041015625
680,20102.923828125,24484.130859375
681,20221.529296875,24836.99609375
682,20273.7265625,24998.09765625
683,20015.50390625,24742.2421875
684,19937.1953125,24154.75390625
685,19743.470703125,24395.076171875
686,20001.259765625,24089.9453125
687,20232.431640625,24661.0078125
688,20164.90625,25920.0078125
689,20465.677734375,24329.623046875
690,19716.810546875,23949.412109375
691,19718.916015625,26007.77734375
692,19648.03125,24698.943359375
693,20018.646484375,24454.888671875
694,19958.10546875,24202.16015625
695,19874.13671875,24583.228515625
696,19922.228515625,23995.056640625
697,20271.953125,24089.89453125
698,19556.517578125,24311.02734375
699,19540.99609375,24542.16015625
700,20195.29296875,24265.736328125
701,19856.03125,23837.548828125
702,19518.177734375,24539.689453125
703,19657.294921875,24182.525390625
704,19889.1640625,25697.50390625
705,19664.53515625,24469.3515625
706,19721.46875,24230.373046875
707,19914.576171875,23824.544921875
708,20270.48046875,26641.49609375
709,19286.619140625,23844.48046875
710,19683.591796875,24272.076171875
711,19634.619140625,24106.869140625
712,20060.11328125,24324.078125
713,19877.68359375,26667.6953125
714,19806.037109375,23745.99609375
715,19450.697265625,23887.685546875
716,19902.537109375,23728.81640625
717,20036.947265625,23674.84765625
718,19510.607421875,23814.03125
719,19741.9296875,23973.607421875
720,19676.546875,24782.1484375
721,19686.857421875,23549.490234375
722,19204.763671875,23754.21875
723,19899.736328125,23550.6953125
724,19444.064453125,23611.666015625
725,19308.70703125,25022.734375
726,19504.703125,24038.701171875
727,19605.142578125,24004.33984375
728,19319.3046875,23426.607421875
729,20031.111328125,25026.919921875
730,19288.251953125,23997.654296875
731,19171.388671875,23882.8203125
732,19339.00390625,23809.64453125
733,19631.146484375,23504.197265625
734,19495.421875,24108.728515625
735,19860.732421875,23840.826171875
736,18983.03515625,23495.07421875
737,19558.931640625,24736.689453125
738,19464.318359375,23732.841796875
739,19074.02734375,24791.52734375
740,19043.8359375,23303.32421875
741,19181.927734375,24019.16796875
742,19043.4609375,23886.404296875
743,19436.197265625,24459.701171875
744,19553.28515625,23518.37109375
745,19641.5234375,23577.7109375
746,19489.599609375,23397.87109375
747,19417.92578125,24090.095703125
748,19065.919921875,23488.505859375
749,19482.263671875,23191.388671875
750,19240.984375,23898.478515625
751,19256.171875,23488.0078125
752,19101.919921875,23354.396484375
753,19090.876953125,23932.0078125
754,19170.37890625,23579.748046875
755,19227.806640625,23385.3203125
756,18974.78125,23152.189453125
757,19265.73828125,23118.953125
758,19185.533203125,23320.51171875
759,18713.546875,23554.3828125
760,19215.1640625,24519.408203125
761,19100.763671875,24063.85546875
762,18820.431640625,23469.880859375
763,18908.59765625,24501.271484375
764,18879.1640625,24520.720703125
765,18989.70703125,23483.123046875
766,19082.833984375,23104.798828125
767,19166.232421875,24985.353515625
768,18990.08203125,23453.58984375
769,19041.703125,24198.478515625
770,18784.00390625,23260.1640625
771,19446.86328125,23270.7265625
772,19250.70703125,23559.15625
773,19011.0078125,22934.400390625
774,19217.0078125,23253.021484375
775,18821.01171875,24347.2109375
776,19212.986328125,23374.16015625
777,18790.00390625,23176.3359375
778,19454.185546875,24239.052734375
779,18655.8984375,22935.126953125
780,18853.74609375,23292.37109375
781,19345.66015625,23470.8671875
782,19084.30078125,22852.279296875
783,18891.259765625,23488.0546875
784,18970.388671875,22890.7578125
785,18722.193359375,23403.685546875
786,19059.109375,22852.248046875
787,19588.7421875,23090.029296875
788,18980.205078125,23308.923828125
789,18800.86328125,23089.568359375
790,18701.16015625,23138.16796875
791,19017.986328125,23040.25390625
792,18879.95703125,22880.587890625
793,18973.529296875,22948.3515625
794,18714.166015625,23101.54296875
795,19142.6171875,22714.71484375
796,19073.388671875,23637.81640625
797,18426.15625,22770.603515625
798,18901.466796875,22833.912109375
799,18534.2578125,23046.873046875
800,19254.794921875,22965.326171875
801,19403.05859375,24223.62109375
802,18599.142578125,22969.271484375
803,18484.23828125,22976.46484375
804,18952.525390625,23024.634765625
805,18623.619140625,23683.150390625
806,18564.90625,22896.1484375
807,18670.265625,23075.2578125
808,18837.09375,22683.130859375
809,18985.28515625,22500.8359375
810,18662.9453125,22888.728515625
811,18922.455078125,22680.1328125
812,19016.619140625,22893.919921875
813,18719.541015625,23246.044921875
814,18786.443359375,24502.4296875
815,18775.642578125,22979.751953125
816,19076.095703125,24771.75
817,18742.74609375,22692.92578125
818,18465.044921875,24076.03515625
819,19069.26953125,22659.873046875
820,18657.36328125,22602.146484375
821,18807.466796875,22638.259765625
822,18903.419921875,23343.7265625
823,18543.994140625,22673.048828125
824,18267.462890625,22893.10546875
825,18391.904296875,22605.494140625
826,18395.978515625,22614.3359375
827,18464.962890625,23906.05078125
828,19218.484375,22918.03125
829,18713.13671875,23265.189453125
830,18285.845703125,23739.369140625
831,18471.322265625,22964.451171875
832,18228.87890625,22311.646484375
833,18492.666015625,22588.79296875
834,18356.509765625,22581.93359375
835,18407.62109375,22777.892578125
836,18245.9453125,22524.140625
837,18787.640625,22518.2421875
838,18565.236328125,22988.509765625
839,18759.982421875,23378.08984375
840,18634.29296875,23624.33984375
841,18873.87890625,23657.7890625
842,18515.916015625,22999.515625
843,18666.107421875,22656.447265625
844,18014.421875,24139.326171875
845,19007.939453125,23310.423828125
846,18395.37890625,22274.64453125
847,18472.41015625,22370.236328125
848,18288.37890625,22877.642578125
849,18064.6640625,22930.701171875
850,18794.189453125,22270.248046875
851,18306.603515625,23165.732421875
852,18307.017578125,22683.630859375
853,18645.888671875,24960.369140625
854,18764.80859375,22294.96484375
855,18045.677734375,22525.119140625
856,18284.822265625,22443.173828125
857,18016.05078125,22996.76953125
858,18545.455078125,23507.03515625
859,18581.12109375,22607.986328125
860,18480.826171875,22801.478515625
861,18918.05078125,23380.677734375
862,18071.619140625,22191.986328125
863,18454.169921875,22147.060546875
864,18517.0859375,22357.103515625
865,17960.998046875,22272.578125
866,18227.1796875,22349.12109375
867,18482.662109375,23400.384765625
868,18090.98828125,22871.55078125
869,18141.15625,22103.84765625
870,17945.078125,22788.513671875
871,17866.001953125,22149.775390625
872,18855.884765625,22424.7734375
873,18483.07421875,22150.83984375
874,18142.263671875,22063.07421875
